Time,Log
1622237959657,-1
1622237959691,-1
1622237959722,-1
1622237959764,-1
1622237959788,-1
1622237959824,-1
1622237959855,-1
1622237959888,-1
1622237959920,-1
1622237959953,-1
1622237959986,-1
1622237960026,-1
1622237960052,-1
1622237960100,6.74
1622237960136,7.43
1622237960171,8.77
1622237960191,10.68
1622237960232,10.69
1622237960262,9.12
1622237960295,9.12
1622237960329,9.13
1622237960358,10.73
1622237960389,10.74
1622237960430,10.73
1622237960456,10.73
1622237960491,10.73
1622237960522,10.73
1622237960556,10.73
1622237960587,10.74
1622237960623,10.74
1622237960653,10.74
1622237960694,10.72
1622237960719,10.72
1622237960755,10.74
1622237960785,10.75
1622237960821,10.71
1622237960852,10.69
1622237960879,-1
1622237960910,-1
1622237960951,-1
1622237960976,-1
1622237961016,10.14
1622237961049,10.14
1622237961086,10.16
1622237961116,10.19
1622237961150,10.21
1622237961182,10.24
1622237961222,10.25
1622237961248,10.27
1622237961283,10.26
1622237961314,10.22
1622237961352,10.2
1622237961379,10.19
1622237961415,10.19
1622237961446,10.19
1622237961484,10.19
1622237961512,8.18
1622237961547,10.21
1622237961578,7.35
1622237961617,8.17
1622237961644,8.17
1622237961669,-1
1622237961703,-1
1622237961747,7.12
1622237961776,7.1
1622237961810,9.62
1622237961842,9.58
1622237961883,9.58
1622237961909,9.59
1622237961940,9.61
1622237961974,9.62
1622237962010,9.63
1622237962040,9.64
1622237962076,9.65
1622237962106,9.68
1622237962147,9.75
1622237962172,9.75
1622237962207,9.75
1622237962237,9.73
1622237962272,8.7
1622237962304,8.7
1622237962340,8.71
1622237962369,9.7
1622237962409,8.15
1622237962435,8.15
1622237962472,8.14
1622237962502,8.13
1622237962536,8.15
1622237962568,7.16
1622237962597,-1
1622237962627,-1
1622237962668,-1
1622237962692,-1
